Date,Direction,Coin,Futures,Transaction amount,Average Price,Trading volume,Realized P/L,NetProfits,Fee
2025-12-18 02:06:19,Close long,USDT,ADAUSDT,66,0.3636,23.9976,-0.1848,-0.19919856,-0.01439856
2025-12-17 20:20:54,Open long,USDT,ADAUSDT,66,0.3664,24.1824,0,0,-0.00483648
2025-12-17 20:02:21,Close long,USDT,ADAUSDT,46,0.3652,16.7992,-0.1242,-0.13427952,-0.01007952
2025-12-17 20:02:21,Close long,USDT,ADAUSDT,5,0.3652,1.826,-0.0135,-0.0145956,-0.0010956
2025-12-17 20:02:21,Close long,USDT,ADAUSDT,4,0.3652,1.4608,-0.0108,-0.01167648,-0.00087648
2025-12-17 20:02:21,Close long,USDT,ADAUSDT,5,0.3652,1.826,-0.0135,-0.0145956,-0.0010956
2025-12-17 19:07:46,Close long,USDT,SOLUSDT,0.2,123.651,24.7302,0.137,0.12216188,-0.01483812
2025-12-17 18:57:23,Open long,USDT,ADAUSDT,60,0.3679,22.074,0,0,-0.0044148
2025-12-17 18:04:41,Open long,USDT,SOLUSDT,0.2,122.966,24.5932,0,0,-0.00491864
2025-12-17 17:32:49,Close long,USDT,SOLUSDT,0.2,124.781,24.9562,-0.1824,-0.19737372,-0.01497372
2025-12-17 17:19:00,Open long,USDT,SOLUSDT,0.2,125.693,25.1386,0,0,-0.00502772
2025-12-17 16:52:11,Close long,USDT,SOLUSDT,0.2,126.812,25.3624,-0.1592,-0.17441744,-0.01521744
2025-12-17 16:50:35,Open long,USDT,SOLUSDT,0.2,127.608,25.5216,0,0,-0.00510432
2025-12-17 15:59:09,Close short,USDT,SOLUSDT,0.2,132.279,26.4558,-0.1878,-0.20367348,-0.01587348
2025-12-17 15:55:14,Open short,USDT,SOLUSDT,0.2,131.34,26.268,0,0,-0.0052536
2025-12-16 05:49:30,Close long,USDT,ADAUSDT,66,0.3773,24.9018,-0.2244,-0.23934108,-0.01494108
2025-12-15 19:46:23,Open long,USDT,ADAUSDT,66,0.3807,25.1262,0,0,-0.01507572
2025-12-15 19:31:45,Close long,USDT,ADAUSDT,67,0.3785,25.3595,-0.201,-0.2162157,-0.0152157
2025-12-15 17:58:29,Open long,USDT,ADAUSDT,67,0.3815,25.5605,0,0,-0.0153363
2025-12-15 17:43:25,Close long,USDT,ADAUSDT,68,0.3817,25.9556,-0.17,-0.18557336,-0.01557336
2025-12-15 17:39:16,Close long,USDT,SOLUSDT,0.2,125.682,25.1364,-0.153,-0.16808184,-0.01508184
2025-12-15 16:54:46,Open long,USDT,SOLUSDT,0.2,126.447,25.2894,0,0,-0.00505788
2025-12-15 16:24:43,Open long,USDT,ADAUSDT,68,0.3842,26.1256,0,0,-0.01567536
2025-12-15 16:22:09,Close long,USDT,SOLUSDT,0.2,127.332,25.4664,-0.1716,-0.18687984,-0.01527984
2025-12-15 16:18:27,Open long,USDT,SOLUSDT,0.2,128.19,25.638,0,0,-0.0051276
2025-12-15 16:03:46,Close long,USDT,SOLUSDT,0.2,128.978,25.7956,-0.1872,-0.20267736,-0.01547736
2025-12-15 15:57:01,Open long,USDT,SOLUSDT,0.2,129.914,25.9828,0,0,-0.00519656
2025-12-15 03:08:25,Close long,USDT,ADAUSDT,65,0.4045,26.2925,0.767,0.7512245,-0.0157755
2025-12-15 00:32:45,Open long,USDT,ADAUSDT,65,0.3927,25.5255,0,0,-0.0153153
2025-12-12 19:52:38,Close long,USDT,ADAUSDT,62,0.4124,25.5688,-0.186,-0.20134128,-0.01534128
2025-12-12 19:42:10,Open long,USDT,ADAUSDT,62,0.4154,25.7548,0,0,-0.00515096
2025-12-12 16:58:36,Close long,USDT,SOLUSDT,0.2,132.808,26.5616,-0.1614,-0.17733696,-0.01593696
2025-12-12 16:58:03,Open long,USDT,SOLUSDT,0.2,133.615,26.723,0,0,-0.0053446
2025-12-12 16:52:06,Close long,USDT,ADAUSDT,63,0.4122,25.9686,-0.189,-0.20458116,-0.01558116
2025-12-12 16:48:20,Open long,USDT,ADAUSDT,63,0.4152,26.1576,0,0,-0.00523152
2025-12-12 16:35:52,Close long,USDT,SOLUSDT,0.2,134.479,26.8958,-0.1788,-0.19493748,-0.01613748
2025-12-12 16:35:17,Close long,USDT,ADAUSDT,14,0.4143,5.8002,-0.0434,-0.04688012,-0.00348012
2025-12-12 16:35:17,Close long,USDT,ADAUSDT,4,0.4143,1.6572,-0.0124,-0.01339432,-0.00099432
2025-12-12 16:35:17,Close long,USDT,ADAUSDT,43,0.4143,17.8149,-0.1333,-0.14398894,-0.01068894
2025-12-12 16:35:17,Close long,USDT,ADAUSDT,3,0.4143,1.2429,-0.0093,-0.01004574,-0.00074574
2025-12-12 16:30:06,Open long,USDT,SOLUSDT,0.2,135.373,27.0746,0,0,-0.00541492
2025-12-12 16:26:38,Open long,USDT,ADAUSDT,64,0.4174,26.7136,0,0,-0.00534272
2025-12-12 01:59:46,Close long,USDT,ADAUSDT,65,0.4179,27.1635,-0.208,-0.2242981,-0.0162981
2025-12-11 21:41:41,Open long,USDT,ADAUSDT,65,0.4211,27.3715,0,0,-0.0054743
2025-12-11 16:30:48,Close long,USDT,ADAUSDT,65,0.4173,27.1245,-0.208,-0.2242747,-0.0162747
2025-12-11 16:25:18,Open long,USDT,ADAUSDT,65,0.4205,27.3325,0,0,-0.0054665
2025-12-11 12:59:18,Close long,USDT,ADAUSDT,66,0.4207,27.7662,-0.2112,-0.22785972,-0.01665972
2025-12-11 09:09:31,Open long,USDT,ADAUSDT,66,0.4239,27.9774,0,0,-0.00559548
2025-12-11 01:23:51,Close short,USDT,ADAUSDT,54,0.4513,24.3702,1.3392,1.32457788,-0.01462212
2025-12-10 21:16:02,Close short,USDT,SOLUSDT,0.2,142.027,28.4054,-0.1638,-0.18084324,-0.01704324
2025-12-10 21:14:41,Open short,USDT,SOLUSDT,0.2,141.208,28.2416,0,0,-0.00564832
2025-12-09 23:10:55,Close long,USDT,SOLUSDT,0.2,138.616,27.7232,0.3554,0.33876608,-0.01663392
2025-12-09 22:54:33,Open long,USDT,SOLUSDT,0.2,136.839,27.3678,0,0,-0.00547356
2025-12-09 21:19:49,Open short,USDT,ADAUSDT,54,0.4761,25.7094,0,0,-0.00514188
2025-12-09 18:38:49,Close short,USDT,ADAUSDT,46,0.4787,22.0202,-0.1564,-0.16961212,-0.01321212
2025-12-09 18:38:49,Close short,USDT,ADAUSDT,5,0.4787,2.3935,-0.017,-0.0184361,-0.0014361
2025-12-09 18:33:46,Open short,USDT,ADAUSDT,51,0.4753,24.2403,0,0,-0.01454418
2025-12-09 18:33:03,Close short,USDT,SOLUSDT,0.2,143.014,28.6028,-0.5692,-0.58636168,-0.01716168
2025-12-09 18:04:58,Close short,USDT,ADAUSDT,52,0.4781,24.8612,-0.1768,-0.19171672,-0.01491672
2025-12-09 17:47:00,Open short,USDT,ADAUSDT,52,0.4747,24.6844,0,0,-0.00493688
2025-12-09 17:34:44,Close short,USDT,ADAUSDT,58,0.4779,27.7182,-0.203,-0.21963092,-0.01663092
2025-12-09 17:22:30,Open short,USDT,SOLUSDT,0.2,140.168,28.0336,0,0,-0.00560672
2025-12-09 17:17:27,Open short,USDT,ADAUSDT,58,0.4744,27.5152,0,0,-0.01650912
2025-12-09 17:13:27,Close short,USDT,ADAUSDT,60,0.4751,28.506,-0.228,-0.2451036,-0.0171036
2025-12-09 17:11:07,Close short,USDT,SOLUSDT,0.2,140.159,28.0318,-0.1622,-0.17901908,-0.01681908
2025-12-09 17:01:34,Open short,USDT,SOLUSDT,0.2,139.348,27.8696,0,0,-0.00557392
2025-12-09 17:01:01,Open short,USDT,ADAUSDT,60,0.4713,28.278,0,0,-0.0169668
2025-12-09 16:46:59,Close short,USDT,SOLUSDT,0.2,137.118,27.4236,-0.17,-0.18645416,-0.01645416
2025-12-09 16:44:34,Open short,USDT,SOLUSDT,0.2,136.268,27.2536,0,0,-0.00545072
2025-12-09 16:02:08,Close short,USDT,ADAUSDT,63,0.4557,28.7091,-0.2583,-0.27552546,-0.01722546
2025-12-09 14:35:47,Open short,USDT,ADAUSDT,63,0.4516,28.4508,0,0,-0.00569016
2025-12-09 14:16:34,Close short,USDT,ADAUSDT,64,0.4534,29.0176,-0.2112,-0.22861056,-0.01741056
2025-12-09 14:15:26,Open short,USDT,ADAUSDT,64,0.4501,28.8064,0,0,-0.00576128
2025-12-09 14:04:38,Close short,USDT,ADAUSDT,62,0.4499,27.8938,-0.2108,-0.22753628,-0.01673628
2025-12-09 14:04:38,Close short,USDT,ADAUSDT,4,0.4499,1.7996,-0.0136,-0.01467976,-0.00107976
2025-12-09 13:23:03,Open short,USDT,ADAUSDT,66,0.4465,29.469,0,0,-0.0058938
2025-12-08 21:07:30,Close long,USDT,BTCUSDT,0.0001,90419.4,9.04194,0.03093,0.025504836,-0.005425164
2025-12-08 16:14:02,Open long,USDT,BTCUSDT,0.0001,90110.1,9.01101,0,0,-0.001802202
2025-12-07 23:34:10,Close long,USDT,BTCUSDT,0.0001,90002.8,9.00028,0.10259,0.097189832,-0.005400168
