Strategie,Startkapital,Endkapital,PnL %,Max DD %,Trades,Win Rate %
AAVE/USDT:USDT (1d),50,"8,649.40",17198.81,46.41,436,39.45
DOGE/USDT:USDT (2h),50,"5,305.87",10511.73,81.66,1113,38.45
ADA/USDT:USDT (1d),50,"5,194.88",10289.76,29.11,263,41.06
ETH/USDT:USDT (1d),50,"5,036.27",9972.54,44.44,210,37.14
XRP/USDT:USDT (6h),50,"3,447.78",6795.56,56.11,341,46.33
AAVE/USDT:USDT (2h),50,"3,298.93",6497.87,22.19,796,49.87
ETH/USDT:USDT (6h),50,"2,683.55",5267.10,47.81,496,43.35
ETH/USDT:USDT (4h),50,"2,513.89",4927.79,53.66,337,43.62
AAVE/USDT:USDT (6h),50,"2,269.15",4438.31,26.15,2055,48.95
SOL/USDT:USDT (2h),50,"2,110.84",4121.68,42.44,1484,53.17
XRP/USDT:USDT (1d),50,"1,988.51",3877.01,58.54,268,50.00
ADA/USDT:USDT (2h),50,"1,774.04",3448.09,72.19,412,29.13
ETH/USDT:USDT (2h),50,"1,333.73",2567.46,42.82,1445,72.66
AAVE/USDT:USDT (4h),50,"1,288.72",2477.45,76.07,829,20.51
DOGE/USDT:USDT (6h),50,"1,240.31",2380.63,132.68,6,33.33
XRP/USDT:USDT (4h),50,"1,093.24",2086.48,89.16,496,25.40
SOL/USDT:USDT (4h),50,"1,014.13",1928.25,55.88,1327,52.22
ADA/USDT:USDT (6h),50,524.28,948.56,112.61,8,0.00
BTC/USDT:USDT (1d),50,332.36,564.73,12.80,171,49.12
BTC/USDT:USDT (6h),50,325.17,550.35,11.30,34,52.94
BTC/USDT:USDT (4h),50,320.93,541.86,15.29,452,61.50
BTC/USDT:USDT (2h),50,185.73,271.45,24.03,55,47.27
SOL/USDT:USDT (1d),50,173.26,246.52,32.40,245,64.08
SOL/USDT:USDT (6h),50,155.47,210.95,20.82,235,52.34
DOGE/USDT:USDT (1d),50,0.00,-100.00,103.57,41,26.83
ADA/USDT:USDT (4h),50,0.00,-100.00,104.78,14,7.14
XRP/USDT:USDT (2h),50,0.00,-100.00,100.77,13,0.00
DOGE/USDT:USDT (4h),50,0.00,-100.00,105.04,7,0.00
