Strategie,Startkapital,Endkapital,PnL %,Max DD %,Trades,Win Rate %,Status
ADA/USDT:USDT (15m),50,8818.56,17537.13,56.33,8493,63.50,OK
AAVE/USDT:USDT (1d),50,8730.42,17360.84,46.41,441,39.46,OK
DOGE/USDT:USDT (2h),50,5383.41,10666.81,81.66,1123,38.56,OK
ADA/USDT:USDT (1d),50,5216.41,10332.82,29.11,265,40.75,OK
ETH/USDT:USDT (1d),50,5106.00,10112.00,44.44,210,37.14,OK
XRP/USDT:USDT (15m),50,4560.71,9021.41,77.89,8731,74.63,OK
XRP/USDT:USDT (6h),50,3517.72,6935.44,56.11,345,46.67,OK
XRP/USDT:USDT (30m),50,3466.80,6833.60,33.02,643,53.65,OK
AAVE/USDT:USDT (2h),50,3348.72,6597.44,22.19,804,50.00,OK
DOGE/USDT:USDT (15m),50,3020.56,5941.11,36.08,1401,55.75,OK
ETH/USDT:USDT (1h),50,2982.00,5864.01,70.64,1746,58.59,OK
ADA/USDT:USDT (30m),50,2898.42,5696.84,84.36,389,35.73,OK
AAVE/USDT:USDT (15m),50,2753.34,5406.68,58.76,14450,71.67,OK
ETH/USDT:USDT (6h),50,2685.37,5270.74,47.81,503,43.14,OK
ETH/USDT:USDT (4h),50,2556.51,5013.02,53.66,339,43.95,OK
SOL/USDT:USDT (30m),50,2401.63,4703.26,22.82,312,53.21,OK
AAVE/USDT:USDT (6h),50,2268.11,4436.23,26.15,2074,48.89,OK
SOL/USDT:USDT (2h),50,2117.19,4134.38,42.44,1502,53.06,OK
XRP/USDT:USDT (1d),50,2007.57,3915.13,58.54,268,50.00,OK
ETH/USDT:USDT (30m),50,1957.88,3815.76,65.45,781,63.64,OK
AAVE/USDT:USDT (30m),50,1906.97,3713.93,33.70,6521,66.19,OK
ADA/USDT:USDT (2h),50,1777.16,3454.33,72.19,415,29.16,OK
ETH/USDT:USDT (15m),50,1704.10,3308.20,26.73,285,47.02,OK
AAVE/USDT:USDT (1h),50,1554.33,3008.67,34.76,4145,75.83,OK
DOGE/USDT:USDT (30m),50,1501.58,2903.16,26.42,3176,77.80,OK
ETH/USDT:USDT (2h),50,1351.51,2603.03,42.82,1463,72.66,OK
DOGE/USDT:USDT (6h),50,1348.70,2597.40,132.68,6,33.33,⚠️ Liquidiert
AAVE/USDT:USDT (4h),50,1283.73,2467.47,76.07,830,20.36,OK
XRP/USDT:USDT (4h),50,1096.49,2092.98,89.16,497,25.35,OK
SOL/USDT:USDT (4h),50,1022.22,1944.44,55.88,1342,52.24,OK
ADA/USDT:USDT (6h),50,587.31,1074.63,112.61,8,0.00,⚠️ Liquidiert
SOL/USDT:USDT (15m),50,544.47,988.94,82.88,471,27.81,OK
SOL/USDT:USDT (1h),50,494.28,888.57,40.74,647,36.48,OK
BTC/USDT:USDT (1d),50,338.44,576.88,12.80,174,49.43,OK
BTC/USDT:USDT (4h),50,331.25,562.50,15.29,459,61.66,OK
BTC/USDT:USDT (6h),50,325.17,550.35,11.30,34,52.94,OK
BTC/USDT:USDT (15m),50,252.11,404.21,28.57,9,66.67,OK
BTC/USDT:USDT (2h),50,185.73,271.45,24.03,55,47.27,OK
SOL/USDT:USDT (1d),50,174.13,248.25,32.40,246,64.23,OK
SOL/USDT:USDT (6h),50,155.62,211.23,20.82,236,52.12,OK
BTC/USDT:USDT (30m),50,130.55,161.09,28.84,12,41.67,OK
BTC/USDT:USDT (1h),50,83.78,67.56,33.89,87,27.59,OK
DOGE/USDT:USDT (4h),50,0.00,-100.00,105.04,7,0.00,⚠️ Liquidiert
DOGE/USDT:USDT (1h),50,0.00,-100.00,103.56,6,0.00,⚠️ Liquidiert
ADA/USDT:USDT (4h),50,0.00,-100.00,104.78,14,7.14,⚠️ Liquidiert
XRP/USDT:USDT (1h),50,0.00,-100.00,129.70,8,12.50,⚠️ Liquidiert
XRP/USDT:USDT (2h),50,0.00,-100.00,100.77,13,0.00,⚠️ Liquidiert
ADA/USDT:USDT (1h),50,0.00,-100.00,106.07,11,9.09,⚠️ Liquidiert
DOGE/USDT:USDT (1d),50,0.00,-100.00,103.57,41,26.83,⚠️ Liquidiert
